City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Winston-Salem;North Carolina;34.7;112520;128712;241232;14521;24302;2.47;NC;White;139301
Durham;North Carolina;33.2;121153;136445;257598;12528;38642;2.4;NC;American Indian and Alaska Native;3154
Mobile;Alabama;38.0;91275;103030;194305;11939;7234;2.4;AL;White;93755
Lawrence;Kansas;27.4;45592;48324;93916;2986;8701;2.53;KS;Black or African-American;5777
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;Black or African-American;3917
Citrus Heights;California;37.8;41982;45071;87053;6171;9466;2.49;CA;Asian;3615
Bridgeport;Connecticut;34.1;71509;76110;147619;4646;44475;2.86;CT;White;68007
Akron;Ohio;38.1;96886;100667;197553;12878;10024;2.24;OH;Hispanic or Latino;3684
Elk Grove;California;36.1;80057;86833;166890;7762;38693;3.34;CA;White;86909
Augusta-Richmond County consolidated government;Georgia;33.7;94662;101917;196579;19085;7915;2.67;GA;Black or African-American;112271
Lincoln;Nebraska;32.3;138544;138802;277346;14694;22958;2.4;NE;Asian;15138
Paradise;Nevada;37.2;122784;114162;236946;14112;66712;2.65;NV;Hispanic or Latino;88347
Bellingham;Washington;30.7;41286;43857;85143;4703;8713;2.44;WA;Hispanic or Latino;6966
Bellingham;Washington;30.7;41286;43857;85143;4703;8713;2.44;WA;Black or African-American;2325
Pasco;Washington;28.6;35298;32799;68097;2052;16265;3.45;WA;Black or African-American;2265
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;Asian;15569
Maple Grove;Minnesota;38.6;31780;36601;68381;2943;7645;2.64;MN;Black or African-American;2951
Wichita Falls;Texas;34.0;55775;48934;104709;7800;9855;2.41;TX;Asian;3688
Irving;Texas;32.3;117189;119428;236617;6207;86756;2.78;TX;American Indian and Alaska Native;2960
Thornton;Colorado;33.1;65482;67977;133459;7261;17949;2.97;CO;Black or African-American;4569
Lansing;Michigan;31.4;54333;59777;114110;5327;8371;2.39;MI;White;75688
Lynwood;California;29.4;35634;36371;72005;776;28061;4.43;CA;Hispanic or Latino;63377
Allen;Texas;37.2;51324;46814;98138;3505;19649;3.04;TX;Black or African-American;13140
Henderson;Nevada;42.5;139412;146246;285658;25045;35666;2.55;NV;Asian;24931
Norfolk;Virginia;30.2;128917;117476;246393;29445;16702;2.51;VA;Hispanic or Latino;18760
Redondo Beach;California;43.0;34855;33330;68185;3014;13536;2.34;CA;Asian;13118
Knoxville;Tennessee;33.1;89978;95334;185312;10897;10285;2.21;TN;American Indian and Alaska Native;2304
Frisco;Texas;37.2;73989;80399;154388;6297;30913;3.05;TX;Asian;30341
Grand Rapids;Michigan;32.1;95669;99430;195099;8972;19176;2.56;MI;White;143702
Hialeah;Florida;43.0;111530;125552;237082;1844;170148;3.31;FL;Asian;1149
Clifton;New Jersey;38.5;41932;44409;86341;2603;27979;3.11;NJ;White;51516
San Angelo;Texas;32.8;49669;50744;100413;8412;7859;2.5;TX;Hispanic or Latino;42494
Saint George;Utah;37.3;38732;41475;80207;4443;4824;2.81;UT;White;71915
Bay;Texas;32.9;37977;37508;75485;3478;13192;2.59;TX;White;48797
Harlingen;Texas;30.1;32404;33365;65769;2761;10391;3.0;TX;Hispanic or Latino;51727
Denver;Colorado;34.1;341137;341408;682545;29363;113222;2.33;CO;Hispanic or Latino;207847
Garland;Texas;34.5;116406;120430;236836;10407;62975;3.12;TX;White;154484
Layton;Utah;29.5;37748;36394;74142;3811;4268;3.24;UT;Hispanic or Latino;10123
Dayton;Ohio;32.8;66631;73966;140597;8465;7381;2.26;OH;Black or African-American;57280
San Marcos;California;35.4;45246;47688;92934;5189;21558;3.13;CA;Hispanic or Latino;35164
Indio;California;35.9;43803;43723;87526;3647;22538;3.08;CA;Asian;2866
Camarillo;California;40.8;31941;35682;67623;4384;9735;2.77;CA;Hispanic or Latino;16186
Rochester;Minnesota;35.0;54934;57282;112216;6888;17763;2.55;MN;Black or African-American;9425
Farmington Hills;Michigan;42.1;37527;43805;81332;3650;18033;2.41;MI;Black or African-American;13483
Downey;California;37.3;53006;61205;114211;2281;39977;3.45;CA;White;77220
Rancho Cucamonga;California;34.5;88127;87105;175232;5821;33878;3.18;CA;White;111832
Columbia;South Carolina;28.0;67686;65707;133393;5708;6074;2.32;SC;Black or African-American;56398
Sunrise Manor;Nevada;32.5;93505;99103;192608;10663;56530;3.25;NV;Asian;16165
Everett;Washington;37.0;56212;51800;108012;7880;19499;2.36;WA;Asian;9807
Federal Way;Washington;36.4;49151;46037;95188;7135;18565;2.68;WA;Asian;16026
Jacksonville;Florida;35.7;419203;448828;868031;75432;85650;2.62;FL;American Indian and Alaska Native;8177
Waterloo;Iowa;37.2;34488;33969;68457;4800;5082;2.42;IA;Black or African-American;11815
Tuscaloosa;Alabama;29.1;47293;51045;98338;3647;4706;2.67;AL;White;52603
Baldwin Park;California;35.8;38747;38309;77056;780;34322;4.13;CA;Asian;15505
Baldwin Park;California;35.8;38747;38309;77056;780;34322;4.13;CA;American Indian and Alaska Native;316
Elk Grove;California;36.1;80057;86833;166890;7762;38693;3.34;CA;Hispanic or Latino;28781
Oakland;California;35.7;203827;215451;419278;12159;113896;2.56;CA;White;171599
Lincoln;Nebraska;32.3;138544;138802;277346;14694;22958;2.4;NE;Hispanic or Latino;20296
Miami;Florida;40.4;215840;225149;440989;7233;260789;2.5;FL;White;338232
High Point;North Carolina;35.5;51751;58077;109828;5204;16315;2.65;NC;Hispanic or Latino;11446
Broken Arrow;Oklahoma;36.8;52136;55459;107595;6797;6845;2.77;OK;Black or African-American;7198
Green Bay;Wisconsin;32.9;52517;52704;105221;5519;9813;2.37;WI;Asian;5652
Milpitas;California;36.8;40098;37519;77617;1608;39436;3.32;CA;American Indian and Alaska Native;599
Union City;California;38.5;38599;35911;74510;1440;32752;3.46;CA;American Indian and Alaska Native;243
Lakeland;Florida;38.1;47840;56570;104410;7390;11592;2.56;FL;Hispanic or Latino;16501
Fort Lauderdale;Florida;42.8;93948;84639;178587;8897;47582;2.38;FL;American Indian and Alaska Native;1366
Eau Claire;Wisconsin;32.0;32327;35106;67433;3261;2833;2.4;WI;Asian;4202
Rancho Cordova;California;33.8;34844;36182;71026;4590;17020;2.86;CA;Black or African-American;9307
Paterson;New Jersey;34.0;70640;77117;147757;1694;49810;3.37;NJ;Hispanic or Latino;85555
Lakewood;Colorado;37.7;76013;76576;152589;9988;14169;2.29;CO;American Indian and Alaska Native;2597
Enterprise;Nevada;34.1;69146;66328;135474;7526;31173;2.89;NV;White;85505
Macon;Georgia;36.0;71833;81626;153459;10735;4846;2.46;GA;American Indian and Alaska Native;682
Pompano Beach;Florida;42.5;56569;51202;107771;5145;32733;2.55;FL;Hispanic or Latino;23225
League City;Texas;35.9;49354;48996;98350;6484;8361;2.72;TX;Black or African-American;4166
Los Angeles;California;35.0;1958998;2012898;3971896;85417;1485425;2.86;CA;Hispanic or Latino;1936732
Napa;California;37.2;39828;40601;80429;4678;18449;2.84;CA;Hispanic or Latino;33229
Lehigh Acres;Florida;34.3;57856;61624;119480;5551;31880;3.55;FL;White;86328
Largo;Florida;45.1;38166;42841;81007;8310;10489;2.28;FL;American Indian and Alaska Native;881
Fullerton;California;34.5;69549;71300;140849;5394;43404;2.97;CA;Hispanic or Latino;53459
Lake Forest;California;40.3;41515;40982;82497;3748;20784;2.76;CA;Hispanic or Latino;17410
Southfield;Michigan;41.6;31369;41808;73177;4035;4011;2.27;MI;Black or African-American;54200
Renton;Washington;36.3;52779;47468;100247;5032;28962;2.57;WA;Black or African-American;12265
Duluth;Minnesota;34.7;41271;44855;86126;5015;2258;2.25;MN;Black or African-American;3891
Laguna Niguel;California;45.8;30193;35619;65812;2648;12571;2.58;CA;Asian;8499
Pine Hills;Florida;29.2;35344;40737;76081;2594;20735;3.3;FL;White;10029
Ellicott City;Maryland;42.4;34406;36526;70932;3856;17587;2.73;MD;White;43537
Kennewick;Washington;32.0;38492;40411;78903;5158;8376;2.78;WA;Hispanic or Latino;19395
Oxnard;California;31.0;101906;105346;207252;6367;78678;4.08;CA;Hispanic or Latino;154911
Bossier City;Louisiana;32.7;33428;34669;68097;8108;2980;2.4;LA;Black or African-American;19520
Waukegan;Illinois;32.3;45514;42833;88347;3404;30997;2.92;IL;Black or African-American;11697
Eugene;Oregon;33.4;79071;84377;163448;8896;14503;2.34;OR;American Indian and Alaska Native;5035
Bk;California;37.0;50405;54909;105314;4048;32435;2.52;CA;Hispanic or Latino;22089
Mesa;Arizona;36.9;234998;236835;471833;31808;57492;2.68;AZ;Asian;14608
Saint Cloud;Minnesota;30.7;34311;33942;68253;5012;5757;2.41;MN;Hispanic or Latino;2639
Yonkers;New York;38.0;96580;104538;201118;4801;61247;2.8;NY;American Indian and Alaska Native;1112
Bethlehem;Pennsylvania;35.1;35861;38506;74367;4704;6295;2.46;PA;Black or African-American;7821
Lakewood;California;39.9;41523;40069;81592;4094;18274;3.13;CA;White;43766
San Ramon;California;39.1;39221;36911;76132;2855;29691;3.09;CA;Asian;38970
Simi Valley;California;39.0;63243;63523;126766;6063;23260;3.13;CA;Black or African-American;2378
Reno;Nevada;35.7;122292;119151;241443;17089;37070;2.46;NV;Asian;20681
Jonesboro;Arkansas;32.6;35666;38240;73906;3682;3222;2.44;AR;Asian;1282
Moreno Valley;California;30.7;98584;105597;204181;8529;54442;3.9;CA;American Indian and Alaska Native;1843
Hawthorne;California;33.7;43682;44762;88444;2123;32107;2.97;CA;White;23665
Delray Beach;Florida;47.9;32219;34042;66261;4232;16639;2.35;FL;White;40980
Bellevue;Washington;37.4;70763;69051;139814;5382;54654;2.43;WA;Black or African-American;4151
Cicero;Illinois;28.5;43153;40714;83867;629;33801;3.89;IL;Hispanic or Latino;76425
Sioux Falls;South Dakota;34.6;86596;84934;171530;8658;12934;2.38;SD;American Indian and Alaska Native;4623
Corpus Christi;Texas;35.0;160488;163594;324082;25078;30834;2.69;TX;Asian;9051
Merced;California;29.7;40048;42392;82440;3723;16348;3.15;CA;White;42475
Merced;California;29.7;40048;42392;82440;3723;16348;3.15;CA;Black or African-American;6464
Lansing;Michigan;31.4;54333;59777;114110;5327;8371;2.39;MI;Black or African-American;34196
Springfield;Missouri;34.1;81057;85741;166798;12291;7765;2.12;MO;American Indian and Alaska Native;2777
Spokane Valley;Washington;36.0;49933;44975;94908;7984;4199;2.39;WA;White;91125
Gary;Indiana;38.1;35876;41478;77354;3952;1884;2.35;IN;American Indian and Alaska Native;551
Redondo Beach;California;43.0;34855;33330;68185;3014;13536;2.34;CA;White;53811
Mission;Texas;32.9;40530;42777;83307;2383;22608;3.51;TX;Hispanic or Latino;73367
Oklahoma City;Oklahoma;34.1;309227;322036;631263;41843;80165;2.58;OK;American Indian and Alaska Native;41696
Palm Coast;Florida;48.8;39489;42632;82121;7950;9084;2.76;FL;Black or African-American;10786
Orlando;Florida;33.1;130940;139977;270917;12782;50558;2.42;FL;Asian;11124
Naperville;Illinois;38.5;71365;75794;147159;4545;30399;2.76;IL;Black or African-American;9031
Naperville;Illinois;38.5;71365;75794;147159;4545;30399;2.76;IL;Asian;31221
Jackson;Mississippi;31.7;79039;91772;170811;8146;1789;2.65;MS;American Indian and Alaska Native;323
Parma;Ohio;40.8;38425;41518;79943;5028;6909;2.42;OH;White;76282
San Juan;Puerto Rico;41.4;155408;186829;342237;;;;PR;Asian;2452
Roanoke;Virginia;36.9;47252;52645;99897;6567;7346;2.35;VA;Black or African-American;30920
Goodyear;Arizona;38.6;36711;42292;79003;7650;11774;2.97;AZ;White;63493
Goodyear;Arizona;38.6;36711;42292;79003;7650;11774;2.97;AZ;American Indian and Alaska Native;1301
Lowell;Massachusetts;33.4;54422;56298;110720;3764;33414;2.8;MA;Asian;28944
Plymouth;Minnesota;38.4;39035;36893;75928;4158;8830;2.46;MN;Hispanic or Latino;3274
Las Vegas;Nevada;37.5;310568;313201;623769;42397;127609;2.79;NV;Black or African-American;84987
Warner Robins;Georgia;31.4;35093;38909;74002;6974;3210;2.5;GA;Asian;2723
Yakima;Washington;34.0;45147;48553;93700;4705;15717;2.74;WA;White;79286
Dayton;Ohio;32.8;66631;73966;140597;8465;7381;2.26;OH;White;86016
Fort Worth;Texas;32.6;414126;422843;836969;39182;143404;2.88;TX;Black or African-American;167449
Cambridge;Massachusetts;31.5;55421;54981;110402;2495;27757;2.06;MA;American Indian and Alaska Native;906
Bend;Oregon;37.3;42294;44723;87017;6199;3032;2.39;OR;Black or African-American;465
Rancho Cucamonga;California;34.5;88127;87105;175232;5821;33878;3.18;CA;Asian;24519
Bridgeport;Connecticut;34.1;71509;76110;147619;4646;44475;2.86;CT;Asian;8546
Gainesville;Florida;26.0;60803;69330;130133;4788;15272;2.33;FL;Asian;11963
Oakland;California;35.7;203827;215451;419278;12159;113896;2.56;CA;Asian;75446
Carmichael;California;41.0;29281;33934;63215;4225;7378;2.39;CA;Hispanic or Latino;9291
Dale City;Virginia;33.4;35984;35415;71399;6085;22306;3.65;VA;American Indian and Alaska Native;548
Longview;Texas;36.8;40065;41525;81590;5512;8782;2.55;TX;American Indian and Alaska Native;253
Upland;California;39.7;36226;40221;76447;2898;16552;2.77;CA;White;46704
Rancho Cordova;California;33.8;34844;36182;71026;4590;17020;2.86;CA;American Indian and Alaska Native;1940
Costa Mesa;California;34.8;59097;54089;113186;4095;26645;2.59;CA;American Indian and Alaska Native;1961
Lakewood;Colorado;37.7;76013;76576;152589;9988;14169;2.29;CO;White;139669
Savannah;Georgia;30.3;69389;76295;145684;9717;10355;2.57;GA;Asian;5366
Louisville/Jefferson County metro government;Kentucky;37.5;298451;316938;615389;39364;37875;2.45;KY;American Indian and Alaska Native;4585
Sacramento;California;33.7;237724;252991;490715;19698;112579;2.73;CA;Black or African-American;77439
Sacramento;California;33.7;237724;252991;490715;19698;112579;2.73;CA;Asian;105063
Saint Petersburg;Florida;41.8;123524;133564;257088;20247;28567;2.42;FL;Hispanic or Latino;20483
Pompano Beach;Florida;42.5;56569;51202;107771;5145;32733;2.55;FL;White;67360
Detroit;Michigan;34.8;319265;357859;677124;29511;39861;2.6;MI;Hispanic or Latino;53980
Albany;New York;32.8;47627;50825;98452;3643;11948;2.08;NY;Asian;8090
Sunrise;Florida;37.7;41471;51235;92706;4108;38209;2.98;FL;Hispanic or Latino;29163
Jackson;Tennessee;35.3;30007;36973;66980;3529;2097;2.52;TN;Hispanic or Latino;3383
Rockville;Maryland;38.1;31205;35793;66998;1990;25047;2.6;MD;White;41692
Houston;Texas;32.6;1149686;1148942;2298628;71898;696210;2.66;TX;Hispanic or Latino;1028148
Killeen;Texas;29.2;69442;71367;140809;24281;15769;2.72;TX;Hispanic or Latino;32600
Vancouver;Washington;37.2;82958;89895;172853;12391;21748;2.49;WA;American Indian and Alaska Native;4541
Casas Adobes;Arizona;44.8;30890;34375;65265;6601;7024;2.24;AZ;Hispanic or Latino;13609
Pawtucket;Rhode Island;39.2;36072;35511;71583;3173;17884;2.41;RI;Asian;2150
Carrollton;Texas;36.9;66928;66218;133146;5720;35327;2.78;TX;White;102948
Carrollton;Texas;36.9;66928;66218;133146;5720;35327;2.78;TX;Asian;18456
Bakersfield;California;30.6;182154;191473;373627;12284;71575;3.23;CA;White;272853
Irvine;California;34.6;125411;131516;256927;5532;116366;2.73;CA;Asian;126499
Laguna Niguel;California;45.8;30193;35619;65812;2648;12571;2.58;CA;White;55919
Ellicott City;Maryland;42.4;34406;36526;70932;3856;17587;2.73;MD;Black or African-American;6089
Clarksville;Tennessee;29.7;75029;74161;149190;20803;8211;2.64;TN;Hispanic or Latino;16004
Tempe;Arizona;28.8;91350;84476;175826;7058;26620;2.44;AZ;Hispanic or Latino;44404
Clovis;California;37.8;52392;51780;104172;6173;13409;2.76;CA;Hispanic or Latino;23744
Kansas City;Kansas;33.4;74606;76655;151261;8139;25507;2.71;KS;White;96113
Gilbert;Arizona;33.2;116711;130812;247523;10817;24531;3.2;AZ;Asian;19740
Boston;Massachusetts;31.8;322149;347320;669469;18350;190123;2.38;MA;American Indian and Alaska Native;5580
New York;New York;36.0;4081698;4468707;8550405;156961;3212500;2.68;NY;Hispanic or Latino;2485125
New York;New York;36.0;4081698;4468707;8550405;156961;3212500;2.68;NY;Black or African-American;2192248
Fargo;North Dakota;30.7;60560;58690;119250;6154;9428;2.18;ND;Black or African-American;6477
West Valley City;Utah;30.7;68235;67989;136224;4880;30712;3.81;UT;Black or African-American;3222
Simi Valley;California;39.0;63243;63523;126766;6063;23260;3.13;CA;White;107898
Simi Valley;California;39.0;63243;63523;126766;6063;23260;3.13;CA;Asian;14984
Wilmington;Delaware;36.4;32680;39277;71957;3063;3336;2.45;DE;White;23743
Riverview;Florida;32.2;44210;45536;89746;6943;12240;3.22;FL;Black or African-American;15159
Reno;Nevada;35.7;122292;119151;241443;17089;37070;2.46;NV;White;197335
Midland;Texas;32.1;66595;66355;132950;5753;17061;2.78;TX;Hispanic or Latino;58677
Roswell;Georgia;38.8;48637;45859;94496;3325;16501;2.7;GA;Hispanic or Latino;16920
Saint Louis;Missouri;35.0;153026;162659;315685;17060;21802;2.16;MO;Black or African-American;151030
Sterling Heights;Michigan;39.6;64985;67077;132062;6970;34313;2.66;MI;Hispanic or Latino;2811
Portsmouth;Virginia;33.6;45900;50301;96201;10261;1815;2.54;VA;Asian;1785
Mobile;Alabama;38.0;91275;103030;194305;11939;7234;2.4;AL;Hispanic or Latino;5229
Mobile;Alabama;38.0;91275;103030;194305;11939;7234;2.4;AL;Black or African-American;96397
Raleigh;North Carolina;32.8;219184;232765;451949;16747;65125;2.42;NC;American Indian and Alaska Native;3955
Kansas City;Missouri;35.9;228430;246931;475361;24710;37787;2.35;MO;Asian;17061
Irving;Texas;32.3;117189;119428;236617;6207;86756;2.78;TX;Black or African-American;30356
Lansing;Michigan;31.4;54333;59777;114110;5327;8371;2.39;MI;Asian;4168
Elgin;Illinois;35.7;54852;56224;111076;4024;30167;2.97;IL;White;76126
Allen;Texas;37.2;51324;46814;98138;3505;19649;3.04;TX;Hispanic or Latino;10615
Shreveport;Louisiana;35.2;93138;103856;196994;14287;5658;2.53;LA;Black or African-American;112923
Rock Hill;South Carolina;34.5;33324;38243;71567;4755;2413;2.29;SC;American Indian and Alaska Native;610
Kendall;Florida;40.2;36658;39808;76466;1678;31180;2.81;FL;Asian;3650
Athens-Clarke County unified government;Georgia;26.5;57415;65148;122563;3953;12868;2.44;GA;Black or African-American;34583
Oklahoma City;Oklahoma;34.1;309227;322036;631263;41843;80165;2.58;OK;Asian;33759
Grand Rapids;Michigan;32.1;95669;99430;195099;8972;19176;2.56;MI;Hispanic or Latino;31282
Buffalo;New York;33.1;124537;133529;258066;11231;24630;2.27;NY;American Indian and Alaska Native;4406
Livonia;Michigan;47.4;45369;49264;94633;5397;7175;2.52;MI;Black or African-American;4633
San Leandro;California;41.8;43032;47679;90711;4111;34293;2.79;CA;Black or African-American;11100
Oceanside;California;39.4;87482;88232;175714;18051;37492;2.72;CA;White;137533
Fresno;California;30.0;256130;263942;520072;18410;103453;3.12;CA;Hispanic or Latino;256145
Glendale;Arizona;34.4;116795;123319;240114;13241;44133;2.89;AZ;American Indian and Alaska Native;4064
Roanoke;Virginia;36.9;47252;52645;99897;6567;7346;2.35;VA;Hispanic or Latino;6091
Springdale;Arkansas;31.8;36840;43614;80454;3397;19969;3.04;AR;White;56843
Joliet;Illinois;33.1;70863;79162;150025;7353;22409;3.13;IL;Asian;2813
Layton;Utah;29.5;37748;36394;74142;3811;4268;3.24;UT;White;65333
Menifee;California;37.1;42866;44297;87163;6821;12481;3.06;CA;White;62331
Pomona;California;32.1;74945;78307;153252;3251;53879;3.63;CA;White;94296
Anaheim;California;33.6;179603;171135;350738;9796;137133;3.45;CA;Asian;53270
Portland;Oregon;36.7;313516;318671;632187;29940;86041;2.43;OR;White;524258
Portland;Maine;40.3;31480;35392;66872;3666;9229;2.13;ME;Asian;3696
Camarillo;California;40.8;31941;35682;67623;4384;9735;2.77;CA;Black or African-American;1219
Murrieta;California;35.3;49363;60453;109816;7242;19875;3.3;CA;American Indian and Alaska Native;2327
Fremont;California;38.3;114383;117808;232191;4629;109427;3.12;CA;Asian;141953
Lansing;Michigan;31.4;54333;59777;114110;5327;8371;2.39;MI;Hispanic or Latino;14245
Amarillo;Texas;33.8;99391;100260;199651;11008;21124;2.64;TX;Black or African-American;14050
Pharr;Texas;26.9;35242;41293;76535;1376;25532;3.67;TX;Hispanic or Latino;72995
Kenosha;Wisconsin;36.3;49349;50507;99856;6238;7443;2.55;WI;White;84780
Whittier;California;36.1;44397;43039;87436;2790;17145;3.11;CA;White;49388
Spokane Valley;Washington;36.0;49933;44975;94908;7984;4199;2.39;WA;Black or African-American;1192
Syracuse;New York;30.3;69462;74690;144152;5845;17733;2.39;NY;Hispanic or Latino;13368
San Buenaventura;California;37.7;53932;55785;109717;5980;18025;2.68;CA;White;95139
Athens-Clarke County unified government;Georgia;26.5;57415;65148;122563;3953;12868;2.44;GA;Asian;6635
Westland;Michigan;39.9;37742;44253;81995;4756;6429;2.41;MI;Asian;4843
San Leandro;California;41.8;43032;47679;90711;4111;34293;2.79;CA;Asian;34019
Oceanside;California;39.4;87482;88232;175714;18051;37492;2.72;CA;Black or African-American;11907
Vallejo;California;37.8;58379;62890;121269;8103;30592;2.83;CA;Black or African-American;26778
Albany;Georgia;33.3;31695;39414;71109;5409;861;2.38;GA;Hispanic or Latino;1783
Hialeah;Florida;43.0;111530;125552;237082;1844;170148;3.31;FL;Black or African-American;5687
Bay;Texas;32.9;37977;37508;75485;3478;13192;2.59;TX;Black or African-American;16782
Scranton;Pennsylvania;38.5;37975;39137;77112;5059;8069;2.39;PA;White;66875
Boise;Idaho;34.9;110099;108181;218280;16004;13409;2.61;ID;Asian;9806
Johnson City;Tennessee;38.2;31019;34350;65369;5038;2878;2.18;TN;Black or African-American;6016
Bellflower;California;33.4;38936;39498;78434;2154;24607;3.58;CA;White;23336
Thousand Oaks;California;44.8;65113;64216;129329;6323;25330;2.79;CA;Hispanic or Latino;26754
Thousand Oaks;California;44.8;65113;64216;129329;6323;25330;2.79;CA;Asian;16134
Garland;Texas;34.5;116406;120430;236836;10407;62975;3.12;TX;Black or African-American;40507
Layton;Utah;29.5;37748;36394;74142;3811;4268;3.24;UT;American Indian and Alaska Native;1674
Rialto;California;31.6;49902;53235;103137;2036;32741;3.83;CA;Asian;4103
Pomona;California;32.1;74945;78307;153252;3251;53879;3.63;CA;Hispanic or Latino;108787
Bloomington;Illinois;35.1;37972;40323;78295;3888;7287;2.34;IL;American Indian and Alaska Native;182
Warner Robins;Georgia;31.4;35093;38909;74002;6974;3210;2.5;GA;Hispanic or Latino;5378
Bloomington;Minnesota;40.9;43318;43118;86436;6176;10728;2.3;MN;Asian;4689
Arlington;Virginia;34.4;113981;115183;229164;12719;55205;2.19;VA;Black or African-American;22372
San Francisco;California;38.3;439752;425064;864816;26276;297199;2.37;CA;Asian;324034
College Station;Texas;22.9;54125;53774;107899;2471;16145;2.52;TX;Hispanic or Latino;17784
Lewisville;Texas;31.6;52776;52032;104808;4211;24865;2.78;TX;White;70278
Cambridge;Massachusetts;31.5;55421;54981;110402;2495;27757;2.06;MA;White;80551
Lafayette;Indiana;33.5;34313;36857;71170;5045;5697;2.19;IN;White;63157
Lafayette;Indiana;33.5;34313;36857;71170;5045;5697;2.19;IN;Black or African-American;6752
Rochester;Minnesota;35.0;54934;57282;112216;6888;17763;2.55;MN;Hispanic or Latino;6617
Canton;Ohio;33.4;34476;37419;71895;3404;2204;2.32;OH;American Indian and Alaska Native;358
Orange;California;35.0;67337;73658;140995;3993;34550;3.14;CA;White;100083
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;Asian;30473
Washington;District of Columbia;33.8;319705;352523;672228;25963;95117;2.24;DC;White;285402
Newark;New Jersey;34.6;138040;143873;281913;5829;86253;2.73;NJ;Hispanic or Latino;100432
Peoria;Illinois;33.1;56229;62432;118661;6634;7517;2.4;IL;Black or African-American;36333
San Jose;California;36.5;518317;508602;1026919;27269;401493;3.13;CA;Black or African-American;41721
Longmont;Colorado;36.8;43941;48280;92221;4925;10424;2.63;CO;Black or African-American;1782
Muncie;Indiana;27.4;32446;37255;69701;2968;1062;2.35;IN;Black or African-American;10482
Mission Viejo;California;44.9;48849;48314;97163;4713;17308;2.85;CA;American Indian and Alaska Native;683
Garden Grove;California;37.8;86779;88605;175384;4316;80677;3.66;CA;Asian;71737
Modesto;California;35.2;104852;106405;211257;9855;39613;2.97;CA;White;166618
Laredo;Texas;28.8;124305;131484;255789;4921;68427;3.66;TX;Hispanic or Latino;243190
Guaynabo;Puerto Rico;42.2;33066;37426;70492;;;;PR;Hispanic or Latino;69936
Apple Valley;California;34.3;32873;39312;72185;5714;5801;3.03;CA;Black or African-American;9124
Livermore;California;36.7;41522;46595;88117;3063;13959;2.91;CA;Black or African-American;3199
Berkeley;California;32.5;60142;60829;120971;3736;25000;2.35;CA;Hispanic or Latino;15429
Rockford;Illinois;36.3;71076;78270;149346;8894;18323;2.52;IL;White;107148
Santa Clara;California;35.2;63278;62938;126216;4426;52281;2.75;CA;American Indian and Alaska Native;1354
Chattanooga;Tennessee;36.6;83640;92957;176597;10001;10599;2.4;TN;Black or African-American;59918
Allen;Pennsylvania;33.5;60626;59581;120207;5691;19652;2.67;PA;American Indian and Alaska Native;1076
Caguas;Puerto Rico;40.4;34743;42265;77008;;;;PR;American Indian and Alaska Native;624
Fayetteville;Arkansas;27.1;41959;40873;82832;4744;6313;2.28;AR;American Indian and Alaska Native;2058
Roseville;California;38.4;62591;67691;130282;8386;18161;2.72;CA;American Indian and Alaska Native;2635
Union City;California;38.5;38599;35911;74510;1440;32752;3.46;CA;Asian;44849
Metairie;Louisiana;41.6;69515;76943;146458;7187;19871;2.39;LA;Hispanic or Latino;19703
Frederick;Maryland;36.1;33146;36336;69482;3870;14211;2.48;MD;American Indian and Alaska Native;1333
Brownsville;Texas;30.6;87689;96199;183888;4211;53301;3.48;TX;Hispanic or Latino;170041
Rancho Cordova;California;33.8;34844;36182;71026;4590;17020;2.86;CA;Hispanic or Latino;13970
West Palm Beach;Florida;39.6;49262;57520;106782;4917;30675;2.53;FL;Black or African-American;39226
West Palm Beach;Florida;39.6;49262;57520;106782;4917;30675;2.53;FL;American Indian and Alaska Native;406
Paterson;New Jersey;34.0;70640;77117;147757;1694;49810;3.37;NJ;White;54885
Ogden;Utah;31.3;44323;41127;85450;5080;12791;2.68;UT;Hispanic or Latino;28275
German;Maryland;34.9;41115;43007;84122;2443;27877;2.95;MD;White;43330
Fayetteville;North Carolina;30.7;101051;100914;201965;28089;12863;2.5;NC;Hispanic or Latino;25080
Palo Alto;California;40.2;31451;35397;66848;2025;23348;2.55;CA;Hispanic or Latino;3496
Clovis;California;37.8;52392;51780;104172;6173;13409;2.76;CA;Black or African-American;3434
Clovis;California;37.8;52392;51780;104172;6173;13409;2.76;CA;Asian;14249
Kansas City;Kansas;33.4;74606;76655;151261;8139;25507;2.71;KS;Hispanic or Latino;44342
Waukegan;Illinois;32.3;45514;42833;88347;3404;30997;2.92;IL;American Indian and Alaska Native;677
Woodbury;Minnesota;37.7;31982;35868;67850;2732;9477;2.72;MN;White;56216
Seattle;Washington;35.5;345659;338784;684443;29364;119840;2.13;WA;Black or African-American;61974
Mountain View;California;33.5;42493;37945;80438;1376;31857;2.46;CA;Asian;23884
Hayward;California;34.3;78152;80148;158300;4385;60970;3.32;CA;White;74800
Bk;California;37.0;50405;54909;105314;4048;32435;2.52;CA;Black or African-American;4729
Mesa;Arizona;36.9;234998;236835;471833;31808;57492;2.68;AZ;White;413010
